seconds_elapsed,rms,spectral_centroid,zcr,activity,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5
47,0.0814002,2064.0802400239054,0.02445561835106383,play_basketball_alone,-241.38986,154.49474,-21.515015,31.765562,3.3270829
48,0.053439517,2089.9604257557107,0.02747361203457447,play_basketball_alone,-282.52744,149.10878,-18.48931,32.630978,6.6247115
49,0.059411544,2089.770524902175,0.02535426363031915,play_basketball_alone,-270.996,152.18013,-18.876606,31.12538,5.699538
50,0.0559192,2545.5599290031564,0.03689640126329787,play_basketball_alone,-247.4529,148.69731,-25.928345,33.325798,-6.3819757
51,0.08075513,2042.510775372708,0.027935920877659573,play_basketball_alone,-239.91566,160.6789,-24.077196,37.404324,-0.6540775
52,0.18129522,2324.3802828461808,0.03398229720744681,play_basketball_alone,-145.44513,161.46068,-27.329374,50.568707,-10.32225
53,0.16888045,2275.8494423438547,0.02892806682180851,play_basketball_alone,-165.3785,159.52505,-17.24146,46.263187,-12.382038
54,0.11745365,1837.5544575763477,0.021146733710106384,play_basketball_alone,-229.80377,158.47264,-7.1085978,34.434536,0.99908715
55,0.09732827,1947.630996055492,0.022616771941489363,play_basketball_alone,-237.91138,155.44432,-13.204492,38.069286,2.9369204
56,0.06615165,2150.8594388684937,0.026221742021276594,play_basketball_alone,-262.24115,152.95833,-16.130035,33.281116,0.6322259
57,0.0816466,2119.938437456894,0.028122922207446808,play_basketball_alone,-241.6238,155.25371,-15.387072,33.126076,-1.6944544
58,0.12201151,2028.954759257291,0.025655543550531915,play_basketball_alone,-208.19421,157.41208,-14.307595,34.541374,-1.3136443
59,0.074445546,2315.085349465868,0.03161880817819149,play_basketball_alone,-258.77457,146.53575,-13.3463,31.185677,-0.35292456
60,0.056534667,2363.9534802349394,0.02921895777925532,play_basketball_alone,-278.88812,141.00308,-10.469771,32.886723,2.2717707
61,0.064369224,2379.7173209636458,0.0327875664893617,play_basketball_alone,-256.24945,148.65326,-12.651328,32.920494,-5.4025893
62,0.073374055,2334.3683988987486,0.030289020944148936,play_basketball_alone,-237.57759,148.17548,-15.741878,34.453915,-0.9954094
63,0.082711264,2414.463296433115,0.03600814494680851,play_basketball_alone,-212.49483,151.95029,-25.41007,36.104115,-1.5926526
64,0.08257602,2273.7773902338754,0.031192860704787235,play_basketball_alone,-222.74759,154.18524,-22.942759,31.613684,0.19845986
65,0.07128681,2431.543160139231,0.0362315076462766,play_basketball_alone,-232.9631,152.24663,-16.44984,32.019524,-4.4596047
66,0.08292984,2534.0043082990032,0.03910405585106383,play_basketball_alone,-204.43803,158.07925,-29.118715,39.46648,-14.173215
67,0.09543907,2399.8823746826106,0.041207820811170214,play_basketball_alone,-186.67632,165.13116,-31.90372,33.97282,-10.93447
68,0.083195314,2763.8006273434357,0.050931889960106384,play_basketball_alone,-177.94647,161.59184,-30.25499,39.563007,-18.58394
69,0.06404991,2464.79899655409,0.033655044880319146,play_basketball_alone,-230.31073,160.00273,-31.549639,43.162903,-13.746844
70,0.0905675,2717.8671800793823,0.0436751994680851,play_basketball_alone,-185.963,149.14644,-29.368765,37.426594,-10.03678
71,0.07782304,2256.4182260805715,0.032621343085106384,play_basketball_alone,-212.09628,173.25185,-36.32664,43.397224,-15.149691
72,0.1359571,2516.8035459660728,0.0372080701462766,play_basketball_alone,-157.0561,156.58012,-27.16486,45.654182,-11.931713
73,0.15489638,2274.6483333474166,0.029364403257978722,play_basketball_alone,-160.83022,159.68707,-23.088394,44.25672,-9.731982
74,0.076092534,2324.963289900617,0.02909429022606383,play_basketball_alone,-231.11913,147.68456,-16.69623,32.654568,-1.9489216
75,0.053760096,2382.9828037885995,0.03340051529255319,play_basketball_alone,-268.5361,143.28534,-15.183737,29.400232,4.035564
76,0.070504725,2391.5356585549466,0.03197203291223404,play_basketball_alone,-241.897,144.31464,-15.49877,30.35651,3.001814
77,0.079434685,2313.0958191342597,0.02873067652925532,play_basketball_alone,-235.6854,151.37462,-14.635747,38.0826,-2.6216774
78,0.064727694,2383.750589358746,0.034112159242021274,play_basketball_alone,-231.6425,159.57173,-27.36393,36.83094,-12.174897
79,0.07264159,2483.5364790550348,0.03722365359042553,play_basketball_alone,-223.54913,150.75539,-26.43668,36.256428,-3.5565033
80,0.05912568,2445.391977805425,0.037317154255319146,play_basketball_alone,-253.30191,149.44019,-23.679401,33.29339,-3.3440483
81,0.061629366,2474.4649398119186,0.03561336436170213,play_basketball_alone,-238.5331,155.44325,-29.430777,37.52017,-7.8987107
82,0.07568909,2315.7705192249446,0.03696912400265957,play_basketball_alone,-224.42387,158.76804,-27.551304,30.805674,-2.996513
83,0.07409478,2139.4364283088003,0.03540558510638298,play_basketball_alone,-210.46121,182.0994,-34.06645,40.776253,-13.792506
84,0.1120023,2435.362406698288,0.03176944813829787,play_basketball_alone,-176.99672,158.13261,-26.28123,43.751762,-7.466178
85,0.15132588,2425.2452541635485,0.03174867021276596,play_basketball_alone,-169.00206,154.9227,-21.625593,44.995136,-9.2903805
86,0.08754607,2340.79634380926,0.03625228557180851,play_basketball_alone,-219.54648,151.0427,-12.976731,30.280405,-4.112638
87,0.06961444,2064.0337693797915,0.03133830618351064,play_basketball_alone,-233.32991,168.69742,-26.463255,29.607363,-3.9468157
88,0.06643775,2221.553049080691,0.03048121675531915,play_basketball_alone,-236.63927,160.83136,-25.392052,35.315563,-5.490132
89,0.06815924,2268.595076087861,0.02864237034574468,play_basketball_alone,-235.81549,159.58589,-30.533175,38.817326,-8.851016
90,0.070060305,2232.830023359963,0.02999293550531915,play_basketball_alone,-224.72789,159.89708,-25.03756,35.41074,-4.3105564
91,0.07089475,2293.0245636354075,0.029681266622340427,play_basketball_alone,-228.48683,157.43497,-26.6818,36.641605,-7.968804
92,0.076166175,2203.2432805050153,0.029530626662234043,play_basketball_alone,-222.99908,159.99118,-26.026577,32.119865,-5.3131394
93,0.07652562,2085.428171956864,0.027577501662234043,play_basketball_alone,-227.34909,163.97675,-30.905949,36.333164,-5.6536393
94,0.066643484,2285.6371224494847,0.03506794381648936,play_basketball_alone,-222.38011,168.34843,-36.510983,38.661255,-14.735229
95,0.0502696,2147.84091667942,0.03088119182180851,play_basketball_alone,-252.56732,172.58029,-34.920757,33.20032,-18.14264
96,0.11342166,2336.7504620223426,0.04127534906914894,play_basketball_alone,-170.25763,168.53722,-34.07064,36.99092,-17.929335
97,0.07267197,1993.7783870664302,0.033239486369680854,play_basketball_alone,-229.88277,174.2531,-27.732702,23.083258,-3.5127351
98,0.108697124,2690.7753756318853,0.04227788397606383,play_basketball_alone,-161.35646,162.464,-29.84931,45.770622,-24.543362
99,0.078713775,3365.5593534069876,0.06297789228723404,play_basketball_alone,-191.36719,144.4836,-15.736588,44.903603,-27.373987
100,0.029959762,3762.047182649031,0.08514793882978723,play_basketball_alone,-246.02284,134.25594,-39.306458,47.218266,-23.963724
0,0.035027068,2952.0303007537486,0.05384079953457447,play_basketball_with_kid,-294.95688,143.17442,-31.288488,55.002853,-16.46314
1,0.05120625,2608.947612797775,0.045462101063829786,play_basketball_with_kid,-263.70676,154.38391,-15.478474,57.58841,-18.99988
